BFD	RA	Dec	Diameter	mag	HD	HIP	Name
6 Tri	2.206188333	30.303075		4.94	13480	10280	
66 Cet	2.213205833	-2.393625		5.65	13612	10305	
17 eta Ari	2.213356944	21.21099167		5.23	13555	10306	
mu. For	2.215130556	-30.723825		5.27	13709	10320	
65 ksi01 Cet	2.216665833	8.846730556		4.36	13611	10324	
19 Ari	2.217584722	15.27985556		5.72	13596	10328	
60 b And	2.2203675	44.23165278		4.84	13520	10340	
6 Per	2.226761667	51.06581389		5.31	13530	10366	
pi.01 Hyi	2.237372778	-67.84143889		5.57	14141	10418	
55 Cas	2.241415	66.52442778		6.05	13474	10438	
pi.02 Hyi	2.257951667	-67.74636667		5.67	14287	10513	
21 Ari	2.2618825	25.04303889		5.57	13872	10535	
20 Ari	2.262791667	25.78293611		5.79	13871	10540	
7 Tri	2.265634444	33.35889722		5.25	13869	10559	
phi Eri	2.275163056	-51.51216944		3.56	14228	10602	
67 Cet	2.283067778	-6.422111111		5.51	14129	10642	
8 del Tri	2.284231111	34.22424167		4.84	13974	10644	
9 gam Tri	2.288574167	33.84719444		4.03	14055	10670	
8 Per	2.299968611	57.89981944		5.75	13982	10718	
7 chi Per	2.301273889	57.51631944		5.99	13994	10729	Misam
22 the Ari	2.302093611	19.90116389		5.58	14191	10732	
10 Tri	2.315831667	28.642675		5.29	14252	10793	
62 c And	2.321332222	47.37997222		5.31	14212	10819	
68 omi Cet	2.322441111	-2.977644444		6.47	14386	10826	Mira
63 And	2.349502222	50.15146944		5.57	14392	10944	
del Hyi	2.362484444	-68.65942222		4.08	15008	11001	
69 Cet	2.36573	0		5.29	14652	11021	
70 Cet	2.37011	0		5.42	14690	11046	
9 i Per	2.372620556	55.84565833		5.16	14489	11060	
kap For	2.375674167	-23.81631667		5.19	14802	11072	
kap Hyi	2.381196389	-73.64579167		5.99	15248	11095	
64 And	2.406921389	50.00654722		5.19	14770	11220	
24 ksi Ari	2.413626944	10.61056389		5.48	14951	11249	
lam Hor	2.414975278	-60.31195		5.36	15233	11258	
71 Cet	2.416219722	-2.780033333		6.34	15004	11261	
10 Per	2.421119167	56.60982778		6.25	14818	11279	
65 And	2.427062222	50.27863056		4.73	14872	11313	
72 rho Cet	2.432501667	-12.29047778		4.88	15130	11345	
kap Eri	2.449755556	-47.70384167		4.24	15371	11407	
25 Ari	2.456496944	10.19833056		6.45	15228	11427	
11 Tri	2.457714444	31.80128056		5.55	15176	11432	
66 And	2.464382778	50.569975		6.16	15138	11465	
phi For	2.467139722	-33.81103889		5.13	15427	11477	
73 ksi02 Cet	2.469316944	8.460072222		4.3	15318	11484	
12 Tri	2.469439167	29.66933333		5.29	15257	11486	
13 Tri	2.4801375	29.93175833		5.89	15335	11548	
iot Cas	2.484433333	67.40241667		4.46	15089	11569	
26 Ari	2.510671667	19.85530278		6.14	15550	11678	
27 Ari	2.515110556	17.70385833		6.21	15596	11698	
mu. Hyi	2.527919167	-79.10938889		5.27	16522	11757	
1 alf UMi	2.529774444	89.26413611		1.97	8890	11767	Polaris
76 sig Cet	2.534786944	-15.244625		4.74	15798	11783	
14 Tri	2.5350475	36.14726667		5.15	15656	11784	
75 Cet	2.535950833	-1.034894444		5.36	15779	11791	
29 Ari	2.548371667	15.03455278		6	15814	11843	
lam01 For	2.551951944	-34.64996667		5.91	15975	11867	
ome For	2.564086111	-28.23234444		4.96	16046	11918	
77 Cet	2.578506944	-7.859444444		5.74	16074	12002	
79 Cet	2.588869444	-3.560591667		6.83	16141	12048	
15 Tri	2.596338611	34.68755833		5.38	16058	12086	
78 nu. Cet	2.597908889	5.593244444		4.87	16161	12093	
80 Cet	2.600013611	-7.831591667		5.53	16212	12107	
iot01 For	2.602573611	-30.04498333		5.74	16307	12122	
31 Ari	2.6105325	12.44763889		5.64	16234	12153	
30 Ari	2.6160375	24.64805278		6.68	16232	12184	
lam02 For	2.616280278	-34.57798333		5.78	16417	12186	
30 Ari	2.616811667	24.64721944		6.48	16246	12189	
eta Hor	2.6234325	-52.54312222		5.3	16555	12225	
81 Cet	2.628278333	-3.396172222		5.65	16400	12247	
iot02 For	2.638516944	-30.19406389		5.84	16538	12288	
32 nu. Ari	2.646943056	21.96140833		5.45	16432	12332	
82 del Cet	2.658041667	0		4.08	16582	12387	
83 eps Cet	2.659394167	-11.87215833		4.83	16620	12390	
eps Hyi	2.659821389	-68.26694722		4.12	16978	12394	
s Eri	2.663333889	-42.89168889		4.74	16754	12413	
zet Hor	2.67767	-54.54991111		5.21	16920	12484	
iot Eri	2.6777875	-39.85537778		4.11	16815	12486	
33 Ari	2.678076389	27.06094444		5.3	16628	12489	
84 Cet	2.687222778	0		5.72	16765	12530	
12 Per	2.704143056	40.19395278		4.91	16739	12623	
34 mu. Ari	2.706094444	20.01146667		5.74	16811	12640	
85 Cet	2.708037778	10.74172222		6.32	16861	12647	
iot Hor	2.709296111	-50.80029444		5.4	17051	12653	
11 Per	2.717455	55.10601667		5.76	16727	12692	
86 gam Cet	2.7217	3.236166667		3.47	16970	12706	Kaffaljidhma
35 Ari	2.724198889	27.70715		4.65	16908	12719	
14 Per	2.734766389	44.29703889		5.43	16901	12768	
89 pi. Cet	2.735374722	-13.85870556		4.24	17081	12770	
13 the Per	2.736584444	49.22865556		4.1	16895	12777	
36 Ari	2.7386425	17.76392778		6.4	17017	12784	
