Code	RA	DEC	Diameter	mag	Name
IC435	5.716667	-2.313333	5	0	
IC438	5.883389	-17.876111	3.2	0	
IC440	6.320261	80.0685	2.1	14	
IC441	6.045189	-12.499583	1.1	14	
IC442	6.603362	82.967981	1.4	14	
IC443	6.276667	22.516667	50	0	
IC444	6.351667	23.1	8	0	
IC445	6.622561	67.859583	1.2	14	
IC446	6.518361	10.459722	5	0	
IC448	6.545833	7.388333	15	0	
IC449	6.761506	71.343639	2	0	
IC450	6.870104	74.427003	1.3	0	
IC451	6.881108	74.480528	1.6	0	
IC452	6.810847	-16.901778	0	0	
IC455	7.582819	85.536842	1.2	14	
IC456	7.004944	-30.163056	2.3	0	
IC457	7.157883	50.152336	0.3	16	
IC458	7.176108	50.118722	1	14	
IC460	7.178942	50.201944	0.4	16	
IC461	7.179172	50.081	0.6	16	
IC463	7.183586	50.117389	0	15	
IC464	7.184642	50.136389	0.6	15	
IC465	7.192666	50.248019	0.8	15	
IC466	7.144211	-4.317444	1	0	
IC467	7.505072	79.872417	3.5	12	
IC468	7.288619	-13.218778	20	0	
IC469	7.933139	85.158917	2.3	0	
IC471	7.726802	49.667197	0.8	14	
IC472	7.730625	49.613694	1.9	14	
IC475	7.785889	30.488611	0.5	15	
IC476	7.787861	26.950833	0	15	
IC477	7.868609	23.482739	0	15	
IC478	7.894892	26.492222	0	15	
IC479	7.906167	27.0075	0	15	
IC481	7.984114	24.159889	1.1	15	
IC482	7.996472	25.356333	0.6	15	
IC484	8.000303	26.665417	0	15	
IC485	8.005508	26.701528	1.4	15	
IC486	8.005822	26.613583	1	15	
IC490	8.055583	25.810667	0	16	
IC491	8.065297	26.519806	0	15	
IC492	8.094067	26.166944	1.3	0	
IC494	8.106725	1.035806	1.4	14	
IC495	8.138675	9.013736	0	15	
IC496	8.162256	25.880861	0.3	15	
IC497	8.168353	24.921833	0.5	15	
IC498	8.158425	5.279861	1.4	15	
IC499	8.754943	85.739975	1.9	14	
IC500	8.210983	-16.05125	0.7	15	
IC501	8.313226	24.537264	0	15	
IC502	8.367688	8.752556	0.4	15	
IC503	8.369622	3.268056	1.1	14	
IC504	8.378089	4.26225	1.1	14	
IC505	8.389369	4.372389	1.4	15	
IC506	8.391886	4.299117	0.4	15	
IC508	8.472894	25.124583	0	15	
IC509	8.534311	24.010417	1.9	0	
IC510	8.536356	-2.162472	1.1	15	
IC511	8.680547	73.486444	1.7	0	
IC512	9.063867	85.501417	3.6	12	
IC513	8.551416	-12.355544	0.6	14	
IC514	8.5895	-2.046944	0	15	
IC515	8.592017	-1.900989	1.2	16	
IC516	8.597381	-1.87075	0	16	
IC517	8.606117	-2.05575	0	15	
IC518	8.601944	0.6925	0	0	
IC519	8.676225	2.610981	0	15	
IC520	8.894972	73.490806	2.3	13	
IC522	8.909775	57.166778	1	14	
IC523	8.886478	9.147889	1.4	15	
IC525	9.0229	-1.853528	1	15	
IC526	9.044672	10.8415	0.7	15	
IC527	9.161624	37.601281	1.9	15	
IC528	9.156281	15.795917	1.7	15	
IC529	9.309042	73.759306	3.7	13	
IC530	9.254747	11.885611	2.1	14	
IC531	9.297444	0.278694	1.8	15	
IC534	9.354281	3.150222	1.9	15	
IC535	9.371181	-1.040497	0	16	
IC536	9.411131	25.110583	1.2	15	
IC537	9.422945	-12.392047	1	14	
IC538	9.4551	23.019778	0.5	0	
IC539	9.485619	-2.549083	1.2	14	
IC540	9.502833	7.901833	1.4	15	
IC542	9.518417	-13.181667	1	15	
IC543	9.519167	-14.773333	1.2	13	
IC544	9.598119	24.893083	0.7	15	
IC545	9.6015	24.948056	0.4	15	
IC546	9.580611	-16.385	0.6	14	
IC547	9.601611	-12.4375	1.2	13	
IC548	9.638706	9.445556	0	15	
IC550	9.674631	-6.946194	0.6	14	
